keyword	Level2
芦根	成分与药材
连翘	成分与药材
血尿	疾病与健康问题
肝功	体检（健康指标）
胸片	体检（健康指标）
骨密度	体检（健康指标）
过劳死	疾病与健康问题
做俯卧撑	健身塑形
甲状腺结节	疾病与健康问题
物理疗法	治疗手段
脚气病	疾病与健康问题
白血病	疾病与健康问题
除皱	需求&功能
麦芽	成分与药材
核黄素	成分与药材
菊花茶	成分与药材
增肌	需求&功能
减肥食谱	需求&功能
引体向上	健身塑形
胖大海	成分与药材
黑豆	成分与药材
维生素A	成分与药材
胃炎	疾病与健康问题
陈皮	成分与药材
谷氨酸	成分与药材
益气	需求&功能
钙	成分与药材
祛痘	治疗手段
胡萝卜素	成分与药材
美容	需求&功能
滋阴	需求&功能
维生素AD	成分与药材
镁	成分与药材
益精	需求&功能
莲子汤	成分与药材
补水	需求&功能
浮尘	环境污染
消化酶	成分与药材
退烧药	治疗手段
黑眼圈	疾病与健康问题
锌	成分与药材
金银花	成分与药材
钾	成分与药材
蛋白质	成分与药材
肾炎	疾病与健康问题
眼疲劳	健身塑形
胆结石	疾病与健康问题
补肾	需求&功能
补气血	需求&功能
血常规	体检（健康指标）
理气	需求&功能
环境质量	环境污染
补心	需求&功能
测血压	体检（健康指标）
脾虚	疾病与健康问题
胃火	疾病与健康问题
天麻	成分与药材
薏苡仁	成分与药材
桔梗	成分与药材
鱼油	成分与药材
脱皮	疾病与健康问题
老年痴呆	疾病与健康问题
静脉曲张	疾病与健康问题
头痛	疾病与健康问题
营养	成分与药材
热量	体检（健康指标）
膳食	成分与药材
维生素c	成分与药材
皮肤癌	疾病与健康问题
枸杞	成分与药材
银耳	成分与药材
美体	需求&功能
维生素e	成分与药材
苹果酸	成分与药材
胸闷	疾病与健康问题
高血脂	疾病与健康问题
子宫肌瘤	疾病与健康问题
调经	需求&功能
EPA	成分与药材
爬楼梯	健身塑形
茯苓	成分与药材
活血	需求&功能
叶酸	成分与药材
维生素	成分与药材
耗热量	体检（健康指标）
腹泻	疾病与健康问题
心电图	体检（健康指标）
玉竹	成分与药材
精神紧张	疾病与健康问题
耳鸣	疾病与健康问题
胎膜早破	疾病与健康问题
感冒	疾病与健康问题
痔疮	疾病与健康问题
气短	疾病与健康问题
高血压	疾病与健康问题
益智	需求&功能
板蓝根	成分与药材
脂肪酸	成分与药材
