source,target,weight
护肤,预防疾病,1592
护肤,强身健体,1155
护肤,中医科,876
护肤,按摩,495
护肤,肥胖,1003
护肤,抗衰老,2981
护肤,内分泌科,832
护肤,精气神,1410
护肤,心脑血管,2073
护肤,空气污染,596
护肤,环境污染,548
护肤,血液情况,613
护肤,减肥,665
护肤,精神心理科,668
护肤,成分,2942
护肤,皮肤科,2220
护肤,呼吸内科,1010
护肤,两性,1149
护肤,美容,4775
护肤,食疗,646
护肤,消化内科,687
护肤,药材,1958
护肤,美体,1129
护肤,神经内科,905
护肤,滋养,3435
预防疾病,其他,194
预防疾病,强身健体,657
预防疾病,骨科,258
预防疾病,中医科,1448
预防疾病,肥胖,461
预防疾病,抗衰老,1401
预防疾病,内分泌科,479
预防疾病,生殖健康,218
预防疾病,精气神,830
预防疾病,心脑血管,1676
预防疾病,血液情况,321
预防疾病,减肥,235
预防疾病,精神心理科,359
预防疾病,成分,1757
预防疾病,皮肤科,584
预防疾病,呼吸内科,908
预防疾病,两性,533
预防疾病,美容,916
预防疾病,食疗,357
预防疾病,消化内科,745
预防疾病,药材,921
预防疾病,神经内科,604
预防疾病,滋养,1607
其他,骨科,214
其他,妇科,205
其他,肥胖,251
其他,内分泌科,249
其他,心脑血管,394
其他,环境污染,286
其他,血液情况,448
其他,成分,449
其他,皮肤科,201
其他,呼吸内科,392
其他,消化内科,314
强身健体,骨科,278
强身健体,中医科,679
强身健体,按摩,205
强身健体,肥胖,408
强身健体,抗衰老,730
强身健体,内分泌科,406
强身健体,生殖健康,355
强身健体,精气神,1676
强身健体,心脑血管,1799
强身健体,血液情况,364
强身健体,减肥,290
强身健体,精神心理科,322
强身健体,成分,1309
强身健体,皮肤科,403
强身健体,呼吸内科,560
强身健体,两性,1057
强身健体,美容,868
强身健体,食疗,554
强身健体,消化内科,517
强身健体,药材,1167
强身健体,神经内科,703
强身健体,滋养,2510
中医科,骨科,703
中医科,妇科,327
中医科,按摩,347
中医科,肥胖,307
中医科,抗衰老,595
中医科,内分泌科,1155
中医科,生殖健康,710
中医科,精气神,997
中医科,心脑血管,1820
中医科,血液情况,292
中医科,精神心理科,859
中医科,成分,1616
中医科,皮肤科,921
中医科,呼吸内科,1885
中医科,两性,1006
中医科,美容,509
中医科,食疗,574
中医科,消化内科,1271
中医科,药材,2435
中医科,神经内科,1498
中医科,滋养,2049
骨科,妇科,355
骨科,按摩,501
骨科,肥胖,273
骨科,抗衰老,249
骨科,内分泌科,731
骨科,生殖健康,482
骨科,精气神,426
骨科,心脑血管,1508
骨科,血液情况,236
骨科,精神心理科,680
骨科,成分,1074
骨科,皮肤科,748
骨科,呼吸内科,1203
骨科,两性,381
骨科,食疗,254
骨科,消化内科,902
骨科,药材,888
骨科,神经内科,1858
骨科,滋养,1148
妇科,内分泌科,639
妇科,生殖健康,747
妇科,精气神,210
妇科,心脑血管,777
妇科,血液情况,230
妇科,精神心理科,438
妇科,成分,662
妇科,皮肤科,438
妇科,呼吸内科,552
妇科,两性,203
妇科,食疗,188
妇科,消化内科,554
妇科,药材,539
妇科,神经内科,645
妇科,滋养,564
按摩,抗衰老,167
按摩,内分泌科,343
按摩,生殖健康,198
按摩,精气神,287
按摩,心脑血管,565
按摩,精神心理科,306
按摩,成分,450
按摩,皮肤科,538
按摩,呼吸内科,504
按摩,两性,279
按摩,美容,249
按摩,食疗,121
按摩,消化内科,311
按摩,药材,497
按摩,神经内科,644
按摩,滋养,2171
肥胖,抗衰老,508
肥胖,内分泌科,716
肥胖,精气神,480
肥胖,心脑血管,1350
肥胖,血液情况,1451
肥胖,减肥,1422
肥胖,精神心理科,331
肥胖,成分,2640
肥胖,皮肤科,257
肥胖,呼吸内科,545
肥胖,两性,318
肥胖,美容,613
肥胖,食疗,437
肥胖,消化内科,730
肥胖,药材,585
肥胖,美体,798
肥胖,神经内科,469
肥胖,滋养,1502
抗衰老,内分泌科,476
抗衰老,生殖健康,248
抗衰老,精气神,867
抗衰老,心脑血管,1597
抗衰老,环境污染,215
抗衰老,血液情况,331
抗衰老,减肥,340
抗衰老,精神心理科,315
抗衰老,成分,1932
抗衰老,皮肤科,649
抗衰老,呼吸内科,539
抗衰老,两性,589
抗衰老,美容,1758
抗衰老,食疗,415
抗衰老,消化内科,523
抗衰老,药材,869
抗衰老,美体,329
抗衰老,神经内科,587
抗衰老,滋养,1616
内分泌科,生殖健康,700
内分泌科,精气神,629
内分泌科,心脑血管,2548
内分泌科,血液情况,567
内分泌科,减肥,394
内分泌科,精神心理科,960
内分泌科,成分,2178
内分泌科,皮肤科,1219
内分泌科,呼吸内科,1570
内分泌科,两性,511
内分泌科,美容,452
内分泌科,食疗,452
内分泌科,消化内科,1409
内分泌科,药材,1595
内分泌科,神经内科,1553
内分泌科,滋养,1485
生殖健康,精气神,505
生殖健康,心脑血管,1088
生殖健康,精神心理科,596
生殖健康,成分,903
生殖健康,皮肤科,464
生殖健康,呼吸内科,715
生殖健康,两性,962
生殖健康,食疗,284
生殖健康,消化内科,609
生殖健康,药材,1015
生殖健康,神经内科,1015
生殖健康,滋养,931
精气神,心脑血管,2922
精气神,血液情况,463
精气神,减肥,348
精气神,精神心理科,709
精气神,成分,1832
精气神,皮肤科,500
精气神,呼吸内科,874
精气神,两性,1603
精气神,美容,1121
精气神,食疗,755
精气神,消化内科,711
精气神,药材,1823
精气神,神经内科,1178
精气神,滋养,3453
心脑血管,血液情况,1177
心脑血管,减肥,871
心脑血管,精神心理科,1545
心脑血管,成分,4229
心脑血管,皮肤科,1422
心脑血管,呼吸内科,3201
心脑血管,两性,1874
心脑血管,美容,1617
心脑血管,食疗,1162
心脑血管,消化内科,2298
心脑血管,药材,3153
心脑血管,美体,480
心脑血管,神经内科,3364
心脑血管,滋养,4849
空气污染,环境污染,1706
空气污染,呼吸内科,377
空气污染,水体污染,437
环境污染,成分,385
环境污染,水体污染,797
血液情况,减肥,666
血液情况,精神心理科,323
血液情况,成分,3106
血液情况,皮肤科,249
血液情况,呼吸内科,605
血液情况,两性,305
血液情况,美容,365
血液情况,食疗,356
血液情况,消化内科,602
血液情况,药材,485
血液情况,美体,323
血液情况,神经内科,482
血液情况,滋养,1038
减肥,成分,1188
减肥,美容,524
减肥,食疗,203
减肥,消化内科,298
减肥,药材,474
减肥,美体,1657
减肥,滋养,869
精神心理科,成分,1330
精神心理科,皮肤科,780
精神心理科,呼吸内科,1430
精神心理科,两性,419
精神心理科,食疗,326
精神心理科,消化内科,932
精神心理科,药材,1157
精神心理科,神经内科,2063
精神心理科,滋养,1217
成分,皮肤科,2110
成分,呼吸内科,2539
成分,两性,1144
成分,美容,1672
成分,食疗,1360
成分,消化内科,2671
成分,药材,3654
成分,美体,712
成分,神经内科,2207
成分,滋养,4373
皮肤科,呼吸内科,1656
皮肤科,两性,378
皮肤科,美容,1071
皮肤科,食疗,352
